gene,description
ANKRD12,Study revealed that ANKRD12 mRNA were down regulated in CRC tumor tissues and low ANKRD12 expression was correlated with liver metastasis and poor survival of CRC patients.
ANO1,"Together, our results identify TMEM16A as a primary driver of the ""Grow"" or ""Go"" model for cancer progression, in which TMEM16A expression acts to balance tumor proliferation and metastasis via its promoter methylation."
ANO1,DOG1 immunocytochemistry can serve as a valuable adjunct for the preoperative diagnosis and confirmation of metastasis of Gastrointestinal Stromal Tumors.
ANO1,TMEM16A overexpression promotes invasion and metastasis in gastric cancer.
ANO9,Suggest role for up-regulation of ANO9 in progression and metastasis of stage II and III colorectal carcinoma.
ANOS1,KAL1 gene expression plays an important role in cancer metastasis and protection from apoptosis.
ANTXR1,High ANTXR1 accelerates breast tumor growth and lung metastasis.
ANXA1,"Annexin I was expressed in vivo in lungs containing metastasized MDA-MB-435 cells but not in normal lung tissue of athymic mice, suggesting that it is an important cellular protein that is down regulated through BRMS1 mediated metastasis suppression."
ANXA1,"The high ANXA1 expression is frequent in esophageal and esophagogastric junction adenocarcinomas, correlates with more advanced pathologic T stage and the presence of distant metastasis, and is an independent prognostic factor for patient survival."
ANXA1,"expression lost in 79% of breast carcinomas, no difference in expression between primary breast carcinoma and lymph node metastasis"
ANXA1,Annexin-I overexpression is associated with tumour progression and independently predicts inferior disease-specific and metastasis-free survival in urinary bladder urothelial carcinoma.
ANXA1,Expression of ANXs was different in histologic subtypes of penile carcinomas. Strong expression of ANX AI and ANX AIV in the invasion front seems to indicate a higher risk of lymph node metastasis.
ANXA1,"Strikingly, forced AnxA1 expression in metastatic mouse and human mammary carcinoma cells reversed epithelial-to-mesenchymal transition and abolished breast cancer metastasis."
ANXA1,"Data suggest that increased expression of hnRNP A1, Ezrin, tubulin beta-2C and Annexin A1 in SLNMM indicate a significantly elevated early colorectal cancer metastasis."
ANXA1,"results suggest that annexin-1, annexin-2, and annexin-3 are identified as potential biomarkers associated with lymph node metastasis in lung adenocarcinoma"
ANXA1,The upregulation of annexin A1 was associated with poor post-surgical survival time and lymphatic metastasis of lung cancer patients
ANXA1,"Upregulated ANXA1 expression may be associated with carcinogenesis, progression, invasion and metastasis of gastric adenocarcinoma."
ANXA1,ANXA1 may contribute to the regulation of tumor growth and metastasis through paracrine mechanisms that are mediated by FPR2/ALX
ANXA1,Study provides new insights on the role of ANXA1 protein in pancreatic cancer progression and suggest that ANXA1 protein could regulate metastasis by favouring cell migration/invasion.
ANXA1,"These results suggested that ANXA1, which enhanced breast cancer invasion and metastasis under hypoxia, were significantly associated with the worst patient outcome in triple-negative breast cancer"
ANXA1,Loss of ANXA1 is associated with lymphatic metastasis in pancreatic ductal adenocarcinoma.
ANXA1,Data show that elevated levels of annexin A1 are associated with small cell lung cancer {SCLC) brain metastasis.
ANXA2,S100A10 and annexin A2 play an important role in plasmin regulation and in cancer cell invasiveness and metastasis [review]
ANXA2,Annexin II-dependent localized plasmin generation is associated with angiogenesis and metastasis in breast cancer
ANXA2,"annexin II and its receptor axis play a central role in prostate cancer metastasis, and prostate cancer utilizes the hematopoietic stem cell homing mechanisms to gain access to the niche."
ANXA2,"ANX2 expression in the primary kidney tumours showed significant associations with a higher stage, a higher nuclear grade. ANX2 expression is an independent predictor for metastasis."
ANXA2,"results suggest that annexin-1, annexin-2, and annexin-3 are identified as potential biomarkers associated with lymph node metastasis in lung adenocarcinoma"
ANXA2,"Aberrant expression of Annexin A2 and Cdc42 play a role in carcinogenesis, differentiation and metastasis of esophageal squamous cell carcinomas."
ANXA2,"Results suggest that abnormal ubiquitination and/or degradation of annexin A2 may lead to presence of annexin A2 at high level, which may further promote metastasis and infiltration of the breast cancer cells."
ANXA2,This study shows that ANXA2 and GAL3 deregulated expression was associated with an invasive phenotype in gastric cancer cell lines and may contribute to metastasis in gastric cancer patients.
ANXA2,"ANXA2 up-regulation might represent an acquired metastasis phenotype of hepatocellular carcinoma (HCC), help to screen out high-risk population for HCC, or more effectively treat a subset of postsurgical HCC patients positive for ANXA2"
ANXA2R,"annexin II and its receptor axis play a central role in prostate cancer metastasis, and prostate cancer utilizes the hematopoietic stem cell homing mechanisms to gain access to the niche."
ANXA3,"results suggest that annexin-1, annexin-2, and annexin-3 are identified as potential biomarkers associated with lymph node metastasis in lung adenocarcinoma"
ANXA3,"The expression change of Anxa3 can be utilized as a potential indicator for the development, invasion, metastasis and drug resistance of tumors."
ANXA3,Annexin A3 expression correlates with tumor size and lymph node metastasis.Annexin A3 might be regulated apoptosis by affecting Bcl-2/Bax balance.Annexin A3 was an independent prognostic factor in breast cancer.
ANXA4,Expression of ANXs was different in histologic subtypes of penile carcinomas. Strong expression of ANX AI and ANX AIV in the invasion front seems to indicate a higher risk of lymph node metastasis.
ANXA7,"Annexin A7 expression was able to inhibit HCC lymph node metastasis, whereas knockdown of Annexin A7 expression significantly induced HCC metastasis to local lymph nodes."
ANXA7,"High annexin A7 expression is associated with poor differentiation in gastric cancer patients, and it may be a predictor for lymphatic metastasis."
APAF1,"results suggest that APAF-1 gene haploinsufficiency caused by AI increases with tumor progression, and relates to hepatic metastasis"
APAF1,Loss of Apaf-1 expression may represent a marker of aggressive tumor behavior since it correlates significantly with the occurrence of lymph node metastasis in cervical cancer.
APBA2,"Aberrant MINT2 methylation in body fluids may predict peritoneal micrometastasis for gastric cancer (GC) patients, which is a potential poor prognostic factor in GC."
APC,A nonsense mutation in Arg1114X in the APC gene was found in 5 of 43 colorectal cancer patients. The patients also had higher rates of metastasis.
APC,"Promoter hypermethylation of the APC gene is related to a lower number of metastatic lymph nodes and to superior prognosis in terms of recurrence, suggesting it might be involved in lymphatic metastasis in esophageal neoplasms."
APC,The methylated pattern of APC promoter 1A was detected in 43.8% of gastric adenocarcinoma cases and correlated with T-stage (P = 0.046) and distant metastasis
APEX1,"APEX1 mRNA expression was positively correlated with tumour size, clinical stage and positive lymph node metastasis in head and neck cancer."
API5,"The prognostic significance of the genes casein kinase 2 alpha subunit (CSNK2A1), anti-apoptosis clone-11 (AAC-11), and tumor metastasis suppressor NME1 in completely resected non-small cell lung cancer (NSCLC) patients, was analysed."
APMAP,C20orf3 mapping at chromosome 20p11 is associated with hepatic-specific metastasis in patients with colorectal cancer.
APOBEC3G,novel mechanism in which APOBEC3G promotes colorectal cancer hepatic metastasis through inhibition of miR-29-mediated suppression of MMP2
APOM,"ApoM is expressed in human colorectal tissues: comparison of expression in normal tissue/mucosa, adenocarcinoma (w/ or w/o lymphatic metastasis), polyps, and inflammatory mucosa."
AQP1,"Study found a significant correlation between AQP1, AQP3, and AQP5 overexpression and lymph node metastasis in patients with surgically resected colon cancer."
AQP3,"AQP3, 4 & 5 exhibited differential expression between human gastric carcinoma & corresponding normal tissue;AQP3 & AQP5 expression were associated with lymph node metastasis & lymphovascular invasion"
AQP3,"Study found a significant correlation between AQP1, AQP3, and AQP5 overexpression and lymph node metastasis in patients with surgically resected colon cancer."
AQP5,"AQP3, 4 & 5 exhibited differential expression between human gastric carcinoma & corresponding normal tissue;AQP3 & AQP5 expression were associated with lymph node metastasis & lymphovascular invasion"
AQP5,AQP5 overexpression is associated with cell growth and metastasis of human breast cancer.
AQP5,Overexpression of AQP5 is associated with lymphatic Metastasis in gastric carcinoma.
AQP5,"The AQP5 protein is up-regulated in prostate cancer and is closely related to advanced stage, lymph node metastasis, and poor prognosis. AQP5 expression was associated with cell proliferation and migration."
AQP5,"Study found a significant correlation between AQP1, AQP3, and AQP5 overexpression and lymph node metastasis in patients with surgically resected colon cancer."
AQP8,"increased AQP8, Erk1/2 and phosphorylated-Erk1/2 expression may play a role in transformation of cervical intraepithelila neoplasia into cervical cancer, and in early invasion and lymphatic metastasis of cervical cancer"
AR,the activated AR can downregulate E-cadherin expression to promote the activation of epithelial-mesenchymal transition and tumor metastasis.
AR,The extra nuclear AR/FlnA/integrin beta 1 complex is the key by which androgen activates signaling leading to cell migration. Assembly of this ternary complex may control organ development and prostate cancer metastasis.
